"filename", "language", "Python", "JSON", "pip requirements", "JavaScript", "JavaScript JSX", "CSS", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\serializer.py", "Python", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 47
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\urls.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 32
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\utils.py", "Python", 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 271
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\views.py", "Python", 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 167
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\library\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\library\admin.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\library\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\library\migrations\0001_initial.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 27
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\library\migrations\0002_wishlist.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 26
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\library\migrations\0003_basket.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 26
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\library\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\library\models.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\library\serializer.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\library\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\library\urls.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\library\views.py", "Python", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 58
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\manage.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\payments\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\payments\admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\payments\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\payments\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\payments\models.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\payments\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\payments\urls.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\payments\views.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\requirements.txt", "pip requirements", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\users\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\users\admin.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\users\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\users\migrations\0001_initial.py", "Python", 53, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 61
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\users\migrations\0002_alter_profile_country.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 22
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\users\migrations\0003_rename_birth_day_profile_birthdate.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\users\migrations\0004_alter_profile_image.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\users\migrations\0005_alter_profile_image.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\users\migrations\0006_alter_profile_image.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\users\migrations\0007_alter_profile_image.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\users\migrations\0008_alter_profile_image.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\users\migrations\0009_rename_verified_profile_subscribed.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\users\migrations\0010_resetpasswordcode.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 25
